ts,ma20_tv,ema20_tv,macd_tv.dif,macd_tv.dea,macd_tv.hist,kdj_tv.k,kdj_tv.d,kdj_tv.j,rsi14_tv,cci20_tv,boll20_tv.mid,boll20_tv.up,boll20_tv.dn,ma20_cn,ema20_cn,macd_cn.dif,macd_cn.dea,macd_cn.hist,kdj_cn.k,kdj_cn.d,kdj_cn.j,rsi14_cn,cci20_cn,boll20_cn.mid,boll20_cn.up,boll20_cn.dn
1787917500000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,79570.1,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1787918400000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,79563.4714286,-5.55213675214,-1.11042735043,-8.88341880343,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN
1787919300000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,79556.3217687,-10.8040713955,-3.04915615945,-15.5098304722,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN
1787920200000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,79539.8054098,-23.2116661002,-7.0816581476,-32.2600159052,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN
1787921100000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,79525.6144184,-32.0379962409,-12.0729257663,-39.9301409493,NaN,NaN,NaN,0.881247314399,NaN,NaN,NaN,NaN
1787922000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,79508.8701881,-41.8587620635,-18.0300930257,-47.6573380756,NaN,NaN,NaN,0.839880075547,NaN,NaN,NaN,NaN
1787922900000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,79476.7206463,-63.3153875705,-27.0871519347,-72.4564712717,NaN,NaN,NaN,0.688376234701,NaN,NaN,NaN,NaN
1787923800000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,79436.671061,-88.5863575539,-39.3869930585,-98.3987289907,NaN,NaN,NaN,0.611746135866,NaN,NaN,NaN,NaN
1787924700000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,79422.1595314,-89.1800080245,-49.3455960517,-79.6688239456,41.1075766339,41.1075766339,41.1075766339,19.6913902608,NaN,NaN,NaN,NaN
1787925600000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,79344.3348141,-142.817996194,-68.0400760801,-149.555840227,32.9136439865,38.3762657514,21.9884004566,12.1876670764,NaN,NaN,NaN,NaN
